Tanggal,Curah_Hujan_mm,Suhu_Rata_C,Nama Provinsi,Tahun,Bulan
2021-01-01,12.0,18.5,Aceh,2021,Januari
2021-01-02,27.1,18.7,Aceh,2021,Januari
2021-01-03,7.0,18.2,Aceh,2021,Januari
2021-01-04,25.1,18.7,Aceh,2021,Januari
2021-01-05,2.2,19.0,Aceh,2021,Januari
2021-01-06,2.8,19.4,Aceh,2021,Januari
2021-01-07,6.7,19.5,Aceh,2021,Januari
2021-01-08,22.3,18.8,Aceh,2021,Januari
2021-01-09,16.7,19.3,Aceh,2021,Januari
2021-01-10,20.1,18.8,Aceh,2021,Januari
2021-01-11,37.6,18.2,Aceh,2021,Januari
2021-01-12,12.0,18.4,Aceh,2021,Januari
2021-01-13,46.3,17.8,Aceh,2021,Januari
2021-01-14,4.0,19.1,Aceh,2021,Januari
2021-01-15,24.5,19.3,Aceh,2021,Januari
2021-01-16,9.6,18.4,Aceh,2021,Januari
2021-01-17,1.3,19.2,Aceh,2021,Januari
2021-01-18,1.9,19.0,Aceh,2021,Januari
2021-01-19,2.1,19.1,Aceh,2021,Januari
2021-01-20,24.8,18.9,Aceh,2021,Januari
2021-01-21,3.0,19.4,Aceh,2021,Januari
2021-01-22,5.3,19.1,Aceh,2021,Januari
2021-01-23,0.1,18.6,Aceh,2021,Januari
2021-01-24,2.6,18.9,Aceh,2021,Januari
2021-01-25,11.0,19.6,Aceh,2021,Januari
2021-01-26,21.4,19.4,Aceh,2021,Januari
2021-01-27,27.9,18.8,Aceh,2021,Januari
2021-01-28,1.9,18.8,Aceh,2021,Januari
2021-01-29,5.0,19.0,Aceh,2021,Januari
2021-01-30,1.4,19.3,Aceh,2021,Januari
2021-01-31,2.2,17.9,Aceh,2021,Januari
2021-02-01,11.4,18.5,Aceh,2021,Februari
2021-02-02,16.3,18.8,Aceh,2021,Februari
2021-02-03,3.0,18.7,Aceh,2021,Februari
2021-02-04,3.8,18.9,Aceh,2021,Februari
2021-02-05,0.8,19.3,Aceh,2021,Februari
2021-02-06,7.7,19.7,Aceh,2021,Februari
2021-02-07,5.9,20.1,Aceh,2021,Februari
2021-02-08,7.6,19.4,Aceh,2021,Februari
2021-02-09,3.1,19.3,Aceh,2021,Februari
2021-02-10,6.6,19.8,Aceh,2021,Februari
2021-02-11,6.6,19.6,Aceh,2021,Februari
2021-02-12,0.1,19.8,Aceh,2021,Februari
2021-02-13,1.0,19.4,Aceh,2021,Februari
2021-02-14,1.5,19.4,Aceh,2021,Februari
2021-02-15,1.8,20.2,Aceh,2021,Februari
2021-02-16,1.4,19.8,Aceh,2021,Februari
2021-02-17,0.6,19.3,Aceh,2021,Februari
2021-02-18,0.1,18.6,Aceh,2021,Februari
2021-02-19,3.2,18.5,Aceh,2021,Februari
2021-02-20,1.3,19.3,Aceh,2021,Februari
2021-02-21,1.8,20.3,Aceh,2021,Februari
2021-02-22,1.6,20.1,Aceh,2021,Februari
2021-02-23,1.6,20.0,Aceh,2021,Februari
2021-02-24,4.2,19.9,Aceh,2021,Februari
2021-02-25,2.2,19.5,Aceh,2021,Februari
2021-02-26,0.2,19.5,Aceh,2021,Februari
2021-02-27,0.0,19.4,Aceh,2021,Februari
2021-02-28,1.7,19.7,Aceh,2021,Februari
2021-03-01,6.7,19.5,Aceh,2021,Maret
2021-03-02,18.7,19.2,Aceh,2021,Maret
2021-03-03,8.6,19.1,Aceh,2021,Maret
2021-03-04,5.6,19.4,Aceh,2021,Maret
2021-03-05,22.9,19.4,Aceh,2021,Maret
2021-03-06,17.5,19.1,Aceh,2021,Maret
2021-03-07,28.9,19.0,Aceh,2021,Maret
2021-03-08,7.6,19.3,Aceh,2021,Maret
2021-03-09,4.8,19.1,Aceh,2021,Maret
2021-03-10,2.5,18.0,Aceh,2021,Maret
2021-03-11,0.5,18.2,Aceh,2021,Maret
2021-03-12,13.0,18.6,Aceh,2021,Maret
2021-03-13,29.1,18.5,Aceh,2021,Maret
2021-03-14,9.3,18.9,Aceh,2021,Maret
2021-03-15,1.0,19.5,Aceh,2021,Maret
2021-03-16,44.8,19.7,Aceh,2021,Maret
2021-03-17,29.7,19.5,Aceh,2021,Maret
2021-03-18,12.6,19.1,Aceh,2021,Maret
2021-03-19,5.3,19.4,Aceh,2021,Maret
2021-03-20,16.9,19.2,Aceh,2021,Maret
2021-03-21,4.1,19.5,Aceh,2021,Maret
2021-03-22,4.2,19.3,Aceh,2021,Maret
2021-03-23,12.1,18.5,Aceh,2021,Maret
2021-03-24,15.3,19.2,Aceh,2021,Maret
2021-03-25,10.0,20.0,Aceh,2021,Maret
2021-03-26,24.7,19.4,Aceh,2021,Maret
2021-03-27,21.3,19.8,Aceh,2021,Maret
2021-03-28,17.8,19.3,Aceh,2021,Maret
2021-03-29,38.1,19.2,Aceh,2021,Maret
2021-03-30,4.9,19.8,Aceh,2021,Maret
2021-03-31,2.1,20.2,Aceh,2021,Maret
2021-04-01,1.7,20.4,Aceh,2021,April
2021-04-02,6.0,19.3,Aceh,2021,April
2021-04-03,9.1,19.5,Aceh,2021,April
2021-04-04,2.8,20.2,Aceh,2021,April
2021-04-05,4.7,19.9,Aceh,2021,April
2021-04-06,12.2,19.4,Aceh,2021,April
2021-04-07,2.1,19.3,Aceh,2021,April
2021-04-08,1.0,19.4,Aceh,2021,April
2021-04-09,1.2,19.8,Aceh,2021,April
2021-04-10,4.1,19.7,Aceh,2021,April
2021-04-11,15.2,19.0,Aceh,2021,April
2021-04-12,36.4,19.1,Aceh,2021,April
2021-04-13,12.1,19.1,Aceh,2021,April
2021-04-14,1.0,18.9,Aceh,2021,April
2021-04-15,1.0,19.4,Aceh,2021,April
2021-04-16,7.7,19.0,Aceh,2021,April
2021-04-17,1.8,19.7,Aceh,2021,April
2021-04-18,3.0,19.6,Aceh,2021,April
2021-04-19,1.0,19.6,Aceh,2021,April
2021-04-20,1.4,19.3,Aceh,2021,April
